id,name,country,region,latitude,longitude
1,Rancho Santa Margarita,US,CA,33.6405,-117.6026
3,Big Bear Lake,US,CA,34.2439,-116.91142
4,San Diego,US,CA,32.7157,-117.1611
5,Phoenix,US,AZ,33.4484,-112.074
6,Chicago,US,IL,41.8781,-87.6298
7,Mammoth Lakes,US,CA,37.6485,-118.9721
8,Miami,US,FL,25.7617,-80.1918
9,Pea Ridge,USA,Arkansas,36.449,-94.1166
10,Bentonville,USA,Arkansas,36.3728,-94.2088
11,Fayetteville,USA,Arkansas,36.0822,-94.1719
12,New York City,USA,New York,40.7128,-74.006
13,London,UK,England,51.5074,-0.1278
14,Tokyo,Japan,Kanto,35.6762,139.6503
15,Manila,Philippines,Metro Manila,14.5995,120.9842
